iter	Passed	Remaining
0	2	244
1	3	151
2	3	117
3	4	97
4	4	87
5	5	80
6	5	74
7	6	70
8	6	66
9	7	63
10	7	61
11	8	59
12	8	58
13	9	56
14	9	55
15	10	55
16	11	54
17	11	52
18	12	51
19	12	50
20	13	49
21	13	48
22	14	47
23	14	46
24	15	46
25	15	45
26	16	44
27	17	43
28	17	42
29	18	42
30	18	41
31	19	40
32	19	39
33	20	39
34	20	38
35	21	37
36	21	36
37	22	36
38	22	35
39	23	34
40	23	34
41	24	33
42	24	32
43	25	32
44	25	31
45	26	30
46	26	30
47	27	29
48	27	29
49	28	28
50	29	27
51	29	27
52	30	27
53	31	26
54	31	25
55	32	25
56	32	24
57	33	23
58	33	23
59	34	22
60	34	22
61	35	21
62	35	21
63	36	20
64	37	20
65	38	19
66	38	19
67	39	18
68	39	17
69	40	17
70	40	16
71	41	16
72	41	15
73	42	14
74	42	14
75	43	13
76	44	13
77	44	12
78	45	12
79	45	11
80	46	10
81	46	10
82	47	9
83	47	9
84	48	8
85	48	7
86	49	7
87	49	6
88	50	6
89	50	5
90	51	5
91	51	4
92	52	3
93	53	3
94	53	2
95	54	2
96	54	1
97	55	1
98	55	0
99	56	0
